id;street_address;postal_code;city;state_province
1;hmph;and till;Casperworth;unto promptly
2;even;pace legitimize;Mraztown;plaintive
3;bust hurdle;sans bug;Pasqualeshire;consequently jealousy
4;than bray;despite unwieldy;East Hosea;or panda
5;that;interestingly;Paramount;versus
6;hm boss desegregate;guava;Tracy;daintily indeed sternly
7;square uh-huh cruel;who;Rohanchester;gah mid
8;evenly good-natured immaculate;as;Medford;shady
9;for yahoo each;phew;East Bennyhaven;until minus evaluate
10;soupy phew;calculating really;Hilllshire;oddball consequently unimpressively
